county,year,dof_pop
Mendocino,2015,88222
Mendocino,2016,88689
Mendocino,2017,88993
Mendocino,2018,88875
Mendocino,2019,88590
Mendocino,2020,88439
Merced,2010,256779
Merced,2011,260216
Merced,2012,263182
Merced,2013,264703
Merced,2014,267373
Merced,2015,269522
Merced,2016,271767
Merced,2017,276449
Merced,2018,279433
Merced,2019,283408
Merced,2020,287420
Modoc,2010,9688
Modoc,2011,9682
Modoc,2012,9633
Modoc,2013,9610
Modoc,2014,9585
Modoc,2015,9542
Modoc,2016,9502
Modoc,2017,9480
Modoc,2018,9487
Modoc,2019,9486
Modoc,2020,9475
Mono,2010,14030
Mono,2011,14301
Mono,2012,14147
Mono,2013,13961
Mono,2014,13994
Mono,2015,13913
Mono,2016,13834
Mono,2017,13885
Mono,2018,13827
Mono,2019,13881
Mono,2020,13961
Monterey,2010,416018
Monterey,2011,420579
Monterey,2012,425133
Monterey,2013,427403
Monterey,2014,430287
Monterey,2015,435805
Monterey,2016,440020
Monterey,2017,441892
Monterey,2018,444252
Monterey,2019,446539
Monterey,2020,448732
Napa,2010,136585
Napa,2011,137499
Napa,2012,138931
Napa,2013,139453
Napa,2014,140602
Napa,2015,141205
Napa,2016,141466
Napa,2017,140978
Napa,2018,140573
Napa,2019,140062
Napa,2020,139652
Nevada,2010,98711
Nevada,2011,98643
Nevada,2012,98213
Nevada,2013,97860
Nevada,2014,98387
Nevada,2015,98137
Nevada,2016,98271
Nevada,2017,98443
Nevada,2018,98626
Nevada,2019,98613
Nevada,2020,98710
Orange,2010,3017084
Orange,2011,3053238
Orange,2012,3088572
Orange,2013,3114327
Orange,2014,3138545
Orange,2015,3162354
Orange,2016,3179394
Orange,2017,3203517
Orange,2018,3215372
Orange,2019,3220987
Orange,2020,3228519
Placer,2010,350629
Placer,2011,356233
Placer,2012,360566
Placer,2013,364778
Placer,2014,368318
Placer,2015,371414
Placer,2016,376486
Placer,2017,382748
Placer,2018,389278
Placer,2019,394737
Placer,2020,400434
Plumas,2010,19974
Plumas,2011,19865
Plumas,2012,19471
Plumas,2013,18996
Plumas,2014,18783
Plumas,2015,18626
Plumas,2016,18771
Plumas,2017,18738
Plumas,2018,18702
Plumas,2019,18858
Plumas,2020,18997
Riverside,2010,2198503
Riverside,2011,2231909
Riverside,2012,2256447
Riverside,2013,2278999
Riverside,2014,2306216
Riverside,2015,2332491
Riverside,2016,2360984
Riverside,2017,2392055
Riverside,2018,2420714
Riverside,2019,2443454
Riverside,2020,2468145
Sacramento,2010,1423068
Sacramento,2011,1436178
Sacramento,2012,1447653
Sacramento,2013,1457395
Sacramento,2014,1474321
Sacramento,2015,1489712
Sacramento,2016,1504939
Sacramento,2017,1520121
Sacramento,2018,1537386
Sacramento,2019,1553253
Sacramento,2020,1567975
San Benito,2010,55528
San Benito,2011,56099
San Benito,2012,56765
San Benito,2013,57330
San Benito,2014,58026
San Benito,2015,58713
San Benito,2016,59608
San Benito,2017,60331
San Benito,2018,61437
San Benito,2019,62782
San Benito,2020,64022
San Bernardino,2010,2045118
San Bernardino,2011,2067552
San Bernardino,2012,2079655
San Bernardino,2013,2093255
San Bernardino,2014,2111045
San Bernardino,2015,2128386
San Bernardino,2016,2143033
San Bernardino,2017,2162347
San Bernardino,2018,2178940
San Bernardino,2019,2197650
San Bernardino,2020,2217398
San Diego,2010,3104286
San Diego,2011,3140394
San Diego,2012,3179295
San Diego,2013,3212089
San Diego,2014,3248693
San Diego,2015,3274586
San Diego,2016,3295583
San Diego,2017,3318132
San Diego,2018,3344438
San Diego,2019,3357442
San Diego,2020,3370418
San Francisco,2010,810369
San Francisco,2011,821235
San Francisco,2012,834572
San Francisco,2013,845063
San Francisco,2014,854587
San Francisco,2015,864405
San Francisco,2016,872281
San Francisco,2017,880343
San Francisco,2018,886618
San Francisco,2019,889360
San Francisco,2020,892280
San Joaquin,2010,688495
San Joaquin,2011,695441
San Joaquin,2012,701484
San Joaquin,2013,706919
San Joaquin,2014,717649
San Joaquin,2015,728423
San Joaquin,2016,738792
San Joaquin,2017,750119
San Joaquin,2018,760310
San Joaquin,2019,771700
San Joaquin,2020,782545
San Luis Obispo,2010,269453
San Luis Obispo,2011,270964
San Luis Obispo,2012,273233
San Luis Obispo,2013,273874
San Luis Obispo,2014,276192
San Luis Obispo,2015,276640
San Luis Obispo,2016,278122
San Luis Obispo,2017,278497
San Luis Obispo,2018,279321
San Luis Obispo,2019,278902
San Luis Obispo,2020,278862
San Mateo,2010,721358
San Mateo,2011,730344
San Mateo,2012,741927
San Mateo,2013,749819
San Mateo,2014,757082
San Mateo,2015,764577
San Mateo,2016,768147
San Mateo,2017,771514
San Mateo,2018,774570
San Mateo,2019,776252
San Mateo,2020,778001
Santa Barbara,2010,424137
Santa Barbara,2011,426201
Santa Barbara,2012,431116
Santa Barbara,2013,435662
Santa Barbara,2014,440042
Santa Barbara,2015,444421
Santa Barbara,2016,447267
Santa Barbara,2017,449950
Santa Barbara,2018,452953
Santa Barbara,2019,454529
Santa Barbara,2020,456373
Santa Clara,2010,1791120
Santa Clara,2011,1816276
Santa Clara,2012,1843534
Santa Clara,2013,1868779
Santa Clara,2014,1893217
Santa Clara,2015,1919736
Santa Clara,2016,1933839
Santa Clara,2017,1945829
Santa Clara,2018,1955946
Santa Clara,2019,1961117
Santa Clara,2020,1967585
Santa Cruz,2010,262804
Santa Cruz,2011,265890
Santa Cruz,2012,268361
Santa Cruz,2013,271067
Santa Cruz,2014,272134
Santa Cruz,2015,274749
Santa Cruz,2016,275776
Santa Cruz,2017,275729
Santa Cruz,2018,275168
Santa Cruz,2019,274545
