,,,,ghi,
abc,,,,,
,,def,,,
Disease,County,Year,Sex,Cases,Population
Chlamydia,Alpine,2004,Total,0,1266
Chlamydia,Alpine,2005,Female,0,580
Chlamydia,Alpine,2005,Male,0,628
Chlamydia,Alpine,2005,Total,0,1208
Chlamydia,Alpine,2006,Female,,605
Chlamydia,Alpine,2006,Male,,650
Chlamydia,Alpine,2006,Total,2,1255
Chlamydia,Alpine,2007,Female,0,599
Chlamydia,Alpine,2007,Male,0,649
Chlamydia,Alpine,2007,Total,0,1248
Chlamydia,Alpine,2008,Female,0,581
Chlamydia,Alpine,2008,Male,0,627
Chlamydia,Alpine,2008,Total,0,1208
Chlamydia,Alpine,2009,Female,,570
Chlamydia,Alpine,2009,Male,,610
Chlamydia,Alpine,2009,Total,2,1180
Chlamydia,Alpine,2010,Female,0,569
Chlamydia,Alpine,2010,Male,0,606
Chlamydia,Alpine,2010,Total,0,1175
Chlamydia,Alpine,2011,Female,,569
Chlamydia,Alpine,2011,Male,,601
Chlamydia,Alpine,2011,Total,1,1170
Chlamydia,Alpine,2012,Female,,564
Chlamydia,Alpine,2012,Male,,602
Chlamydia,Alpine,2012,Total,2,1166
Chlamydia,Alpine,2013,Female,,562
Chlamydia,Alpine,2013,Male,,602
Chlamydia,Alpine,2013,Total,2,1164
Chlamydia,Alpine,2014,Female,,563
Chlamydia,Alpine,2014,Male,,598
Chlamydia,Alpine,2014,Total,3,1161
Chlamydia,Alpine,2015,Female,,561
Chlamydia,Alpine,2015,Male,,593
Chlamydia,Alpine,2015,Total,1,1154
Chlamydia,Alpine,2016,Female,,558
Chlamydia,Alpine,2016,Male,,593
Chlamydia,Alpine,2016,Total,4,1151
Chlamydia,Alpine,2017,Female,,558
Chlamydia,Alpine,2017,Male,,588
Chlamydia,Alpine,2017,Total,9,1146
Chlamydia,Alpine,2018,Female,,557
Chlamydia,Alpine,2018,Male,,584
Chlamydia,Alpine,2018,Total,12,1141
Chlamydia,Amador,2001,Female,,16101
Chlamydia,Amador,2001,Male,,19683
Chlamydia,Amador,2001,Total,15,35784
Chlamydia,Amador,2002,Female,,16416
Chlamydia,Amador,2002,Male,,20119
Chlamydia,Amador,2002,Total,32,36535
Chlamydia,Amador,2003,Female,,16572
Chlamydia,Amador,2003,Male,,20204
Chlamydia,Amador,2003,Total,31,36776
Chlamydia,Amador,2004,Female,,16732
Chlamydia,Amador,2004,Male,,20415
Chlamydia,Amador,2004,Total,21,37147
Chlamydia,Amador,2005,Female,24,16990
Chlamydia,Amador,2005,Male,26,20732
Chlamydia,Amador,2005,Total,50,37722
Chlamydia,Amador,2006,Female,34,17119
Chlamydia,Amador,2006,Male,27,20845
Chlamydia,Amador,2006,Total,61,37964
Chlamydia,Amador,2007,Female,48,17207
Chlamydia,Amador,2007,Male,28,20878
Chlamydia,Amador,2007,Total,76,38085
Chlamydia,Amador,2008,Female,35,17163
Chlamydia,Amador,2008,Male,35,20701
Chlamydia,Amador,2008,Total,70,37864
Chlamydia,Amador,2009,Female,35,17197
Chlamydia,Amador,2009,Male,49,20708
Chlamydia,Amador,2009,Total,84,37905
Chlamydia,Amador,2010,Female,35,17187
Chlamydia,Amador,2010,Male,36,20445
Chlamydia,Amador,2010,Total,71,37632
Chlamydia,Amador,2011,Female,38,17058
Chlamydia,Amador,2011,Male,19,19870
Chlamydia,Amador,2011,Total,57,36928
Chlamydia,Amador,2012,Female,48,17078
Chlamydia,Amador,2012,Male,18,19455
Chlamydia,Amador,2012,Total,66,36533
Chlamydia,Amador,2013,Female,49,16980
Chlamydia,Amador,2013,Male,24,19189
Chlamydia,Amador,2013,Total,73,36169
Chlamydia,Amador,2014,Female,36,17070
Chlamydia,Amador,2014,Male,19,19344
Chlamydia,Amador,2014,Total,55,36414
Chlamydia,Amador,2015,Female,51,17062
Chlamydia,Amador,2015,Male,15,19333
Chlamydia,Amador,2015,Total,66,36395
Chlamydia,Amador,2016,Female,68,17063
Chlamydia,Amador,2016,Male,27,19799
Chlamydia,Amador,2016,Total,95,36862
Chlamydia,Amador,2017,Female,53,17312
Chlamydia,Amador,2017,Male,13,20093
Chlamydia,Amador,2017,Total,66,37405
Chlamydia,Amador,2018,Female,39,17610
Chlamydia,Amador,2018,Male,21,20453
Chlamydia,Amador,2018,Total,63,38063
Chlamydia,Butte,2001,Female,287,104697
Chlamydia,Butte,2001,Male,92,101033
Chlamydia,Butte,2001,Total,380,205730
Chlamydia,Butte,2002,Female,312,105823
Chlamydia,Butte,2002,Male,100,102331
Chlamydia,Butte,2002,Total,412,208154
Chlamydia,Butte,2003,Female,440,106998
Chlamydia,Butte,2003,Male,138,103625
Chlamydia,Butte,2003,Total,579,210623
Chlamydia,Butte,2004,Female,506,107746
Chlamydia,Butte,2004,Male,188,104466
Chlamydia,Butte,2004,Total,698,212212
Chlamydia,Butte,2005,Female,458,108417
Chlamydia,Butte,2005,Male,173,105281
Chlamydia,Butte,2005,Total,631,213698
Chlamydia,Butte,2006,Female,520,109338
Chlamydia,Butte,2006,Male,204,106346
Chlamydia,Butte,2006,Total,724,215684
Chlamydia,Butte,2007,Female,584,110027
Chlamydia,Butte,2007,Male,204,107088
Chlamydia,Butte,2007,Total,793,217115
Chlamydia,Butte,2008,Female,439,110685
